"","Position","Posted","Min.Salary.Lbs","Max.Salary.Lbs","Salary.Period","Location","Contract","ad_poster","ad_poster_type","job_Knowledge_Domain"
"1","Data Scientist ",2021-03-11,NA,NA,NA,"London","Permanent, full-time"," Vitality","Direct employer","Information Technology"
"2","Data Scientist ",2021-03-11,37689,47900,"per annum","London","Permanent, full-time","Nursing and Midwifery Council","Charity","Information Technology"
"3","Data Scientist ",2021-02-19,45000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"4","Data Scientist ",2021-02-21,50000,60000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"5","Data Scientist ",2021-02-20,550,650,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"6","Data Scientist ",2021-03-03,550,650,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"7","Data Scientist ",2021-03-18,80000,85000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"8","Data Scientist ",2021-02-10,60000,80000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"9","Data Scientist ",2021-03-18,70000,75000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"10","Data Scientist ",2021-03-18,60000,65000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"11","Data Scientist ",2021-03-17,55000,68000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"12","Data Scientist ",2021-03-15,40000,45000,"per annum","South East England","Permanent, full-time","CPS Group","Recruitment consultancy","Marketing And Media"
"13","Data scientist ",2021-03-08,70000,80000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"14","Data Scientist ",2021-03-16,50000,90000,"per annum","London","Permanent, full-time","CPS Group","Recruitment consultancy","Administration"
"15","Data Scientist ",2021-03-16,NA,NA,NA,"Slough","Contract, full-time","Randstad Sourceright","Recruitment consultancy","Information Technology"
"16","Data Scientist ",2021-02-23,25000,55000,"per annum","Southwark","Permanent, full-time","Blue Pelican","Recruitment consultancy","Information Technology"
"17","Data Scientist ",2021-02-22,60000,70000,"per annum","London","Permanent, full-time","TEC PARTNERS LIMITED","Recruitment consultancy","Information Technology"
"18","Data Scientist ",2021-02-24,600,850,"per day","London","Contract, full-time","Data Idols","Recruitment consultancy","Information Technology"
"19","Data Scientist ",2021-03-14,45000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"20","Data Scientist ",2021-03-14,45000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
